x,y,z
96.050930,147.716820,5.416216
95.350366,146.973898,5.403465
94.677094,146.221124,5.390714
94.014312,145.443376,5.377963
93.376099,144.660589,5.365212
92.749230,143.860031,5.352461
92.137561,143.049380,5.339709
91.540804,142.231270,5.326958
90.952274,141.399068,5.314207
90.380084,140.566862,5.301456
89.814737,139.723361,5.288705
89.259296,138.875291,5.275954
88.712488,138.022963,5.263202
88.171576,137.164180,5.250408
87.638448,136.303980,5.237546
87.110357,135.439955,5.224614
86.586565,134.572819,5.211613
86.066841,133.704109,5.198543
85.551071,132.835582,5.185405
85.035127,131.962188,5.172197
84.522698,131.092127,5.158920
84.009355,130.219883,5.145574
83.495461,129.348138,5.132159
82.983218,128.482745,5.118675
82.462930,127.609636,5.105122
81.944645,126.748068,5.091499
81.417509,125.882563,5.077808
80.886792,125.024640,5.064048
80.350036,124.173251,5.050219
79.800723,123.321590,5.036320
79.250117,122.490449,5.022353
78.686135,121.649785,5.008317
78.121671,120.809452,4.994211
77.556727,119.969448,4.980037
76.991308,119.129771,4.965817
76.425416,118.290419,4.951821
75.859056,117.451390,4.938120
75.292229,116.612680,4.924716
74.724940,115.774288,4.911607
74.157192,114.936212,4.898795
73.588989,114.098449,4.886279
73.020333,113.260997,4.874059
72.451229,112.423853,4.862135
71.881678,111.587015,4.850507
71.311686,110.750482,4.839175
70.741236,109.914223,4.828139
70.170339,109.078246,4.817400
69.599009,108.242565,4.806956
69.027250,107.407180,4.796809
68.455066,106.572086,4.786958
67.882459,105.737283,4.777403
67.309434,104.902768,4.768144
66.735993,104.068539,4.759181
66.162140,103.234592,4.750514
65.587878,102.400927,4.742143
65.013211,101.567540,4.734069
64.438141,100.734430,4.726254
63.862673,99.901594,4.718559
63.286809,99.069029,4.710969
62.710554,98.236734,4.703485
62.133911,97.404707,4.696106
61.556882,96.572945,4.688834
60.979471,95.741446,4.681666
60.401682,94.910207,4.674605
59.823517,94.079226,4.667648
59.244980,93.248500,4.660798
58.666075,92.418028,4.654053
58.086805,91.587807,4.647414
57.507172,90.757835,4.640880
56.927181,89.928109,4.634452
56.346835,89.098627,4.628129
55.766137,88.269387,4.621912
55.185091,87.440386,4.615801
54.603699,86.611623,4.609795
54.021979,85.783113,4.603895
53.439930,84.954850,4.598101
52.857546,84.126818,4.592412
52.274831,83.299013,4.586828
51.691787,82.471434,4.581297
51.108418,81.644078,4.575726
50.524727,80.816944,4.570112
49.940718,79.990028,4.564455
49.356394,79.163329,4.558757
48.771758,78.336844,4.553016
48.186815,77.510571,4.547233
47.601566,76.684507,4.541408
47.016015,75.858651,4.535541
46.430167,75.032999,4.529631
45.844025,74.207553,4.523679
45.257627,73.382356,4.517685
44.670940,72.557358,4.511649
44.083969,71.732555,4.505570
43.496716,70.907945,4.499449
42.909185,70.083527,4.493286
42.321380,69.259297,4.487081
41.733303,68.435254,4.480833
41.144958,67.611396,4.474544
40.556348,66.787719,4.468212
39.967477,65.964222,4.461837
39.378348,65.140902,4.455420
38.788964,64.317757,4.448813
38.199329,63.494785,4.441910
37.609446,62.671983,4.434711
37.019341,61.849381,4.427215
36.429015,61.026973,4.419424
35.838451,60.204729,4.411337
35.247653,59.382645,4.402953
34.656623,58.560721,4.394273
34.065366,57.738953,4.385298
33.473884,56.917339,4.376026
32.882181,56.095878,4.366458
32.290260,55.274566,4.356594
31.698124,54.453401,4.346434
31.105778,53.632382,4.335978
30.513224,52.811505,4.325226
29.920465,51.990769,4.314178
29.327505,51.170171,4.302833
28.734349,50.349710,4.291193
28.141040,49.529440,4.279257
27.547539,48.709302,4.267024
26.953852,47.889292,4.254495
26.359979,47.069409,4.241691
25.765926,46.249651,4.228871
25.171696,45.430015,4.216114
24.577291,44.610498,4.203421
23.982715,43.791099,4.190791
23.387972,42.971815,4.178225
22.793064,42.152643,4.165723
22.197996,41.333583,4.153285
21.602770,40.514630,4.140910
21.007390,39.695784,4.128599
20.411859,38.877041,4.116352
19.816199,38.058425,4.104168
19.220414,37.239934,4.092048
18.624488,36.421539,4.079991
18.028424,35.603239,4.067998
17.432226,34.785031,4.056069
16.835898,33.966912,4.044204
16.239442,33.148881,4.032402
15.642862,32.330936,4.020663
15.046162,31.513073,4.008989
14.449344,30.695291,3.997378
13.852412,29.877588,3.985831
13.255370,29.059960,3.974372
12.658220,28.242406,3.963111
12.060967,27.424924,3.952061
11.463612,26.607510,3.941223
10.866188,25.790201,3.930596
10.268670,24.972957,3.920179
9.671061,24.155775,3.909975
9.073366,23.338652,3.899981
8.475586,22.521588,3.890198
7.877726,21.704579,3.880627
7.279789,20.887622,3.871267
6.681778,20.070717,3.862118
6.083696,19.253860,3.853180
5.485548,18.437049,3.844454
4.887335,17.620282,3.835938
4.289062,16.803557,3.827634
3.690732,15.986870,3.819541
3.092349,15.170221,3.811659
2.493922,14.353616,3.803989
1.895456,13.537054,3.796529
1.296946,12.720523,3.789281
0.698396,11.904019,3.782244
0.099809,11.087540,3.775355
-0.498812,10.271085,3.768489
-1.097463,9.454651,3.761645
-1.696141,8.638235,3.754821
-2.294842,7.821835,3.748019
-2.893564,7.005449,3.741238
-3.492303,6.189075,3.734478
-4.091056,5.372710,3.727740
-4.689818,4.556353,3.721022
-5.288588,3.740000,3.714325
-5.887361,2.923649,3.707650
-6.486133,2.107300,3.700996
-7.084902,1.290950,3.694362
-7.683664,0.474595,3.687750
-8.282416,-0.341767,3.681159
-8.881156,-1.158138,3.674589
-9.479879,-1.974520,3.668041
-10.078581,-2.790916,3.661513
-10.677261,-3.607328,3.655007
-11.275914,-4.423758,3.648521
-11.874537,-5.240209,3.642057
-12.473127,-6.056683,3.635614
-13.071681,-6.873181,3.629309
-13.670194,-7.689707,3.623237
-14.268664,-8.506263,3.617397
-14.867093,-9.322859,3.611789
-15.465479,-10.139498,3.606414
-16.063812,-10.956174,3.601271
-16.662087,-11.772889,3.596361
-17.260303,-12.589645,3.591683
-17.858456,-13.406445,3.587237
-18.456542,-14.223291,3.583023
-19.054558,-15.040184,3.579043
-19.652500,-15.857128,3.575294
-20.250365,-16.674125,3.571778
-20.848151,-17.491177,3.568494
-21.445853,-18.308287,3.565443
-22.043468,-19.125456,3.562624
-22.640993,-19.942687,3.560037
-23.238425,-20.759982,3.557683
-23.835783,-21.577375,3.555561
-24.433043,-22.394840,3.553672
-25.030199,-23.212376,3.552015
-25.627248,-24.029986,3.550601
-26.224187,-24.847671,3.549596
-26.821013,-25.665435,3.549056
-27.417721,-26.483279,3.548980
-28.014310,-27.301205,3.549370
-28.610775,-28.119217,3.550224
-29.207112,-28.937315,3.551543
-29.803320,-29.755504,3.553328
-30.399394,-30.573784,3.555577
-30.995331,-31.392158,3.558290
-31.591127,-32.210629,3.561469
-32.186794,-33.029217,3.565113
-32.782335,-33.847937,3.569221
-33.377726,-34.666759,3.573795
-33.972963,-35.485687,3.578833
-34.568043,-36.304723,3.584336
-35.162962,-37.123870,3.590304
-35.757718,-37.943129,3.596737
-36.352306,-38.762502,3.603634
-36.946724,-39.581993,3.610997
-37.540968,-40.401604,3.618824
-38.135035,-41.221336,3.627117
-38.728922,-42.041192,3.635879
-39.322624,-42.861175,3.645143
-39.916140,-43.681287,3.654914
-40.509465,-44.501529,3.665191
-41.102632,-45.321955,3.675976
-41.695608,-46.142524,3.687267
-42.288382,-46.963231,3.699065
-42.880953,-47.784078,3.711370
-43.473317,-48.605068,3.724182
-44.065469,-49.426202,3.737501
-44.657408,-50.247484,3.751326
-45.249129,-51.068915,3.765659
-45.840630,-51.890497,3.780498
-46.431907,-52.712234,3.795844
-47.022956,-53.534127,3.811697
-47.613774,-54.356178,3.828057
-48.204358,-55.178391,3.844924
-48.794705,-56.000766,3.862298
-49.384827,-56.823329,3.880178
-49.974732,-57.646098,3.898566
-50.564389,-58.469038,3.917460
-51.153796,-59.292149,3.936861
-51.742948,-60.115436,3.956789
-52.331843,-60.938899,3.977286
-52.920477,-61.762542,3.998353
-53.508846,-62.586367,4.019990
-54.096948,-63.410375,4.042197
-54.684779,-64.234570,4.064974
-55.272335,-65.058953,4.088322
-55.859614,-65.883527,4.112240
-56.446612,-66.708294,4.136728
-57.033326,-67.533257,4.161787
-57.619751,-68.358417,4.187415
-58.205919,-69.183824,4.213614
-58.791797,-70.009441,4.240383
-59.377378,-70.835262,4.267723
-59.962658,-71.661291,4.295632
-60.547633,-72.487529,4.324112
-61.132300,-73.313978,4.353162
-61.716656,-74.140642,4.382782
-62.300698,-74.967521,4.412973
-62.884421,-75.794619,4.443733
-63.467824,-76.621938,4.475064
-64.050902,-77.449480,4.506965
-64.633651,-78.277248,4.539179
-65.216070,-79.105243,4.571478
-65.798154,-79.933468,4.603862
-66.379908,-80.761938,4.636332
-66.961339,-81.590667,4.668887
-67.542426,-82.419634,4.701527
-68.123164,-83.248840,4.734252
-68.703550,-84.078287,4.767063
-69.283582,-84.907978,4.799958
-69.863256,-85.737916,4.832939
-70.442568,-86.568101,4.866006
-71.021516,-87.398538,4.899157
-71.600095,-88.229227,4.932394
-72.178302,-89.060172,4.965716
-72.756135,-89.891375,4.999123
-73.333590,-90.722837,5.032615
-73.910663,-91.554562,5.066193
-74.487351,-92.386551,5.099856
-75.063656,-93.218814,5.133604
-75.639570,-94.051348,5.167437
-76.215089,-94.884154,5.201356
-76.790210,-95.717233,5.235378
-77.364929,-96.550589,5.269842
-77.939244,-97.384222,5.304877
-78.513150,-98.218137,5.340481
-79.086644,-99.052334,5.376655
-79.659723,-99.886817,5.413398
-80.232383,-100.721587,5.450712
-80.804622,-101.556647,5.488595
-81.376436,-102.392000,5.527048
-81.947821,-103.227646,5.566071
-82.518774,-104.063590,5.605663
-83.089285,-104.899822,5.645825
-83.659342,-105.736333,5.686557
-84.228956,-106.573147,5.727859
-84.798126,-107.410267,5.769731
-85.366847,-108.247695,5.812172
-85.935116,-109.085434,5.855183
-86.502930,-109.923486,5.898764
-87.070285,-110.761853,5.942914
-87.637179,-111.600537,5.987635
-88.203607,-112.439541,6.032925
-88.769566,-113.278867,6.078785
-89.335054,-114.118518,6.125150
-89.900066,-114.958496,6.171673
-90.464599,-115.798802,6.218302
-91.028651,-116.639440,6.265037
-91.591418,-117.481449,6.311876
-92.150453,-118.325736,6.358822
-92.705656,-119.172205,6.405873
-93.257069,-120.020831,6.453030
-93.804733,-120.871590,6.500292
-94.348691,-121.724459,6.547660
-94.889195,-122.579747,6.595134
-95.426538,-123.437841,6.642713
-95.960291,-124.297976,6.690398
-96.490497,-125.160128,6.738188
-97.017198,-126.024272,6.786084
-97.540435,-126.890385,6.834085
-98.060252,-127.758442,6.882192
-98.576919,-128.628804,6.930405
-99.090292,-129.501141,6.978723
-99.600367,-130.375352,7.027147
-100.107186,-131.251411,7.075677
-100.610791,-132.129293,7.124312
-101.111226,-133.008975,7.173187
-101.608523,-133.890419,7.222618
-102.102721,-134.773590,7.272620
-102.593873,-135.658487,7.323193
-103.082024,-136.545086,7.374335
-103.567214,-137.433362,7.426048
-104.049486,-138.323291,7.478330
-104.528882,-139.214848,7.531183
-105.005245,-140.107634,7.584607
-105.478791,-141.001946,7.638600
-105.949590,-141.897811,7.693164
-106.417685,-142.795206,7.748298
-106.883117,-143.694106,7.804002
-107.345929,-144.594487,7.860277
-107.806019,-145.496042,7.917121
-108.263358,-146.398598,7.974536
-108.718206,-147.302558,8.032521
-109.170606,-148.207900,8.091077
-109.620600,-149.114599,8.150202
-110.068231,-150.022631,8.209898
-110.513539,-150.931971,8.270164
-110.956171,-151.841778,8.331000
-111.396531,-152.752761,8.392049
-111.834699,-153.664978,8.452951
-112.270718,-154.578404,8.513706
-112.704628,-155.493014,8.574315
-113.136473,-156.408785,8.634777
-113.566100,-157.325277,8.695092
-113.993480,-158.242305,8.755261
-114.418924,-159.160418,8.815283
-114.842473,-160.079593,8.875158
-115.264170,-160.999804,8.934887
-115.684056,-161.921028,8.994468
-116.102173,-162.843241,9.053904
-116.518149,-163.765500,9.113192
-116.932408,-164.688617,9.172334
-117.345026,-165.612648,9.231329
-117.756046,-166.537570,9.290178
-118.165509,-167.463358,9.348880
-118.573456,-168.389987,9.407435
-118.979761,-169.317048,9.465843
-119.384396,-170.244353,9.524105
-119.787643,-171.172427,9.582220
-120.189544,-172.101244,9.640165
-120.590140,-173.030783,9.697403
-120.989473,-173.961017,9.753709
-121.387584,-174.891923,9.809085
-121.784205,-175.822747,9.863530
-122.179654,-176.754114,9.917044
-122.574008,-177.686080,9.969627
-122.967309,-178.618621,10.021279
-123.359596,-179.551714,10.072000
-123.750913,-180.485334,10.121790
-124.141198,-181.419214,10.170649
-124.530432,-182.353180,10.218578
-124.918820,-183.287601,10.265575
-125.306404,-184.222453,10.311642
-125.693224,-185.157712,10.356778
-126.079322,-186.093355,10.400983
-126.464740,-187.029357,10.444257
-126.849370,-187.965330,10.486600
-127.233377,-188.901555,10.528012
-127.616828,-189.838068,10.568493
-127.999765,-190.774845,10.608043
-128.382228,-191.711861,10.646663
-128.764258,-192.649093,10.684361
-129.145873,-193.586456,10.721188
-129.527088,-194.523866,10.757148
-129.907994,-195.461419,10.792243
-130.288634,-196.399093,10.826472
-130.669047,-197.336864,10.859835
-131.049276,-198.274708,10.892332
-131.429361,-199.212600,10.923963
-131.809368,-200.150577,10.954729
-132.189320,-201.088569,10.984628
-132.569251,-202.026539,11.013662
-132.949205,-202.964462,11.041829
-133.329220,-203.902314,11.069131
-133.709340,-204.840073,11.095567
-134.089643,-205.777807,11.121137
-134.470230,-206.715640,11.145841
-134.851045,-207.653308,11.169679
-135.232129,-208.590785,11.192651
-135.613523,-209.528049,11.214757
-135.995269,-210.465075,11.235998
-136.377408,-211.401840,11.256372
-136.760164,-212.338765,11.275881
-137.143454,-213.275524,11.294648
-137.527261,-214.211949,11.312996
-137.911627,-215.148017,11.330943
-138.296594,-216.083703,11.348489
-138.682202,-217.018985,11.365633
-139.068574,-217.954033,11.382377
-139.455932,-218.889256,11.398719
-139.844057,-219.824002,11.414659
-140.232990,-220.758245,11.430199
-140.622773,-221.691963,11.445337
-141.013448,-222.625131,11.460074
-141.405056,-223.557725,11.474410
-141.797952,-224.490467,11.488344
-142.191988,-225.422871,11.501877
-142.587083,-226.354628,11.515009
-142.983279,-227.285714,11.527740
-143.380618,-228.216104,11.540069
-143.779143,-229.145774,11.551997
-144.179005,-230.074961,11.563524
-144.580542,-231.004317,11.574649
-144.983392,-231.932879,11.585374
-145.387596,-232.860624,11.595697
-145.793197,-233.787527,11.605541
-146.200237,-234.713563,11.614816
-146.608756,-235.638709,11.623520
-147.018279,-236.562834,11.631653
-147.428168,-237.487432,11.639216
-147.838395,-238.412785,11.646208
-148.248880,-239.338893,11.652630
-148.659544,-240.265759,11.658481
-149.069218,-241.190923,11.663762
-149.478502,-242.115923,11.668472
-149.887727,-243.041681,11.672612
-150.296812,-243.968201,11.676181
-150.705679,-244.895483,11.679180
-151.113398,-245.821594,11.681608
-151.520411,-246.747713,11.683465
-151.926971,-247.674596,11.684752
-152.333002,-248.602246,11.685468
-152.738423,-249.530665,11.685614
-153.142547,-250.458448,11.685190
-153.545641,-251.386388,11.684195
-153.947895,-252.315099,11.682629
-154.349232,-253.244584,11.680494
-154.749574,-254.174844,11.677840
-155.148453,-255.104971,11.674690
-155.545986,-256.035414,11.671043
-155.942294,-256.966635,11.666900
-156.337300,-257.898638,11.662260
-156.730926,-258.831423,11.657124
-157.122897,-259.764523,11.651491
-157.513215,-260.698122,11.645362
-157.901923,-261.632508,11.638736
-158.288945,-262.567685,11.631614
-158.674202,-263.503653,11.623995
-159.057575,-264.440310,11.615880
-159.438999,-265.377685,11.607268
-159.818427,-266.315857,11.598160
-160.195782,-267.254829,11.588556
-160.570988,-268.194603,11.578455
-160.944040,-269.135364,11.567857
-161.314850,-270.077094,11.556763
-161.683278,-271.019631,11.545172
-162.049245,-271.962980,11.533085
-162.412674,-272.907140,11.520502
-162.773639,-273.852512,11.507475
-163.132069,-274.799124,11.494378
-163.487724,-275.746556,11.481280
-163.840527,-276.694809,11.468183
-164.190400,-277.643886,11.455085
-164.537465,-278.594336,11.441988
-164.881687,-279.546297,11.428891
-165.222739,-280.499090,11.415793
-165.560542,-281.452717,11.402696
-165.895019,-282.407180,11.389598
-166.226313,-283.363125,11.376501
-166.554434,-284.320830,11.363403
-166.878984,-285.279380,11.350306
-167.199884,-286.238777,11.337209
-167.517056,-287.199023,11.324111
-167.830648,-288.160818,11.311014
-168.140705,-289.124578,11.297916
-168.446784,-290.089196,11.284819
-168.748807,-291.054674,11.271722
-169.046695,-292.021014,11.258624
-169.340587,-292.988942,11.245527
-169.630545,-293.958966,11.232429
-169.916114,-294.929862,11.219190
-170.197215,-295.901633,11.205395
-170.473770,-296.874280,11.191020
-170.745898,-297.848525,11.176064
-171.013655,-298.824910,11.160527
-171.276608,-299.802181,11.144410
-171.534678,-300.780340,11.127712
-171.787785,-301.759389,11.110432
-172.036021,-302.740020,11.092573
-172.279418,-303.722729,11.074132
-172.517592,-304.706338,11.055111
-172.750465,-305.690849,11.035508
-172.977955,-306.676264,11.015325
-173.200120,-307.663203,10.994562
-173.416952,-308.652051,10.973217
-173.628144,-309.641812,10.951292
-173.833613,-310.632489,10.928786
-174.033281,-311.624083,10.905699
-174.227160,-312.617080,10.882031
-174.415203,-313.611715,10.857782
-174.597188,-314.607275,10.832953
-174.773034,-315.603764,10.807543
-174.942660,-316.601182,10.781716
-175.106028,-317.599792,10.755676
-175.263064,-318.599678,10.729425
-175.413631,-319.600501,10.702964
-175.557647,-320.602264,10.676291
-175.695031,-321.604968,10.649407
-175.825692,-322.608528,10.622311
-175.949549,-323.612931,10.595005
-176.066535,-324.618282,10.567487
-176.176568,-325.624583,10.539758
-176.279569,-326.631835,10.511818
-176.375401,-327.639455,10.483666
-176.463997,-328.647427,10.455304
-176.545334,-329.656355,10.426730
-176.619333,-330.666241,10.397945
-176.685912,-331.677088,10.368949
-176.745719,-332.688237,10.339742
-176.802972,-333.699043,10.310323
-176.858371,-334.709898,10.280693
-176.911931,-335.720803,10.250852
-176.963668,-336.731757,10.220800
-177.013594,-337.742760,10.190531
-177.061726,-338.753810,10.159786
-177.108077,-339.764907,10.128427
-177.152669,-340.776203,10.096455
-177.195515,-341.787703,10.063869
-177.236624,-342.799249,10.030669
-177.276009,-343.810839,9.996855
-177.313685,-344.822474,9.962428
-177.349668,-345.834153,9.927387
-177.383971,-346.845874,9.891733
-177.416609,-347.857639,9.855465
-177.447598,-348.869502,9.818583
-177.476954,-349.881474,9.781088
-177.504687,-350.893486,9.742979
-177.530814,-351.905539,9.704256
-177.555348,-352.917631,9.664919
-177.578305,-353.929762,9.624969
-177.599698,-354.941932,9.584405
-177.619542,-355.954139,9.543228
-177.637853,-356.966373,9.501437
-177.654643,-357.978628,9.459032
-177.669929,-358.990920,9.416013
-177.683724,-360.003247,9.372374
-177.696044,-361.015610,9.328052
-177.706903,-362.028006,9.283033
-177.716315,-363.040436,9.237318
-177.724296,-364.052899,9.190907
-177.730858,-365.065337,9.143799
-177.736018,-366.077724,9.095995
-177.739790,-367.090142,9.047495
-177.742189,-368.102590,8.998298
-177.743229,-369.115069,8.948405
-177.742925,-370.127577,8.897816
-177.741292,-371.140114,8.846530
-177.738344,-372.152680,8.794548
-177.734096,-373.165187,8.741870
-177.728563,-374.177583,8.688495
-177.721760,-375.190005,8.634424
-177.713701,-376.202453,8.579657
-177.704400,-377.214927,8.524193
-177.693873,-378.227425,8.468033
-177.682133,-379.239948,8.411177
-177.669196,-380.252494,8.353624
-177.655076,-381.264964,8.295375
-177.639792,-382.277276,8.236631
-177.623354,-383.289609,8.178030
-177.605777,-384.301964,8.119619
-177.587076,-385.314340,8.061398
-177.567265,-386.326735,8.003367
-177.546359,-387.339151,7.945526
-177.524372,-388.351585,7.887875
-177.501322,-389.363937,7.830414
-177.477225,-390.376099,7.773144
-177.452093,-391.388277,7.716063
-177.425938,-392.400473,7.659173
-177.398776,-393.412684,7.602472
-177.370622,-394.424911,7.545962
-177.341490,-395.437152,7.489642
-177.311394,-396.449408,7.433512
-177.280351,-397.461586,7.377572
-177.248382,-398.473555,7.321822
-177.215493,-399.485536,7.266262
-177.181700,-400.497529,7.210892
-177.147016,-401.509533,7.155712
-177.111456,-402.521549,7.100722
-177.075035,-403.533574,7.045923
-177.037767,-404.545609,6.991357
-176.999670,-405.557576,6.937086
-176.960764,-406.569331,6.883111
-176.921056,-407.581093,6.829432
-176.880559,-408.592863,6.776048
-176.839289,-409.604639,6.722961
-176.797260,-410.616421,6.670168
-176.754486,-411.628208,6.617672
-176.710982,-412.640000,6.565471
-176.666764,-413.651740,6.513566
-176.621856,-414.663277,6.461956
-176.576261,-415.674817,6.410642
-176.529994,-416.686360,6.359624
-176.483070,-417.697905,6.308901
-176.435504,-418.709451,6.258475
-176.387309,-419.720998,6.208343
-176.338501,-420.732545,6.158508
-176.289096,-421.744053,6.108968
-176.239114,-422.755386,6.059724
-176.188563,-423.766717,6.010775
-176.137457,-424.778046,5.962122
-176.085809,-425.789372,5.913763
-176.033635,-426.800695,5.865577
-175.980950,-427.812014,5.817495
-175.927766,-428.823329,5.769519
-175.874102,-429.834618,5.721646
-175.819975,-430.845772,5.673879
-175.765395,-431.856920,5.626216
-175.710376,-432.868061,5.578658
-175.654932,-433.879195,5.531205
-175.599077,-434.890321,5.483856
-175.542827,-435.901438,5.436612
-175.486195,-436.912546,5.389472
-175.429197,-437.923637,5.342438
-175.371851,-438.934649,5.295508
-175.314167,-439.945651,5.248682
-175.256159,-440.956641,5.201961
-175.197843,-441.967619,5.155345
-175.139233,-442.978584,5.108834
-175.080342,-443.989536,5.062427
-175.021186,-445.000474,5.016125
-174.961780,-446.011398,4.969928
-174.902136,-447.022313,4.923835
-174.842271,-448.033213,4.877864
-174.782199,-449.044096,4.832171
-174.721933,-450.054963,4.786797
-174.661489,-451.065812,4.741740
-174.600881,-452.076643,4.697001
-174.540124,-453.087456,4.652581
-174.479231,-454.098250,4.608478
-174.418213,-455.109118,4.564693
-174.357089,-456.119966,4.521225
-174.295873,-457.130793,4.478076
-174.234580,-458.141599,4.435245
-174.173224,-459.152383,4.392732
-174.111821,-460.163143,4.350536
-174.050384,-461.173881,4.308658
-173.988927,-462.184595,4.267099
-173.927456,-463.195462,4.225857
-173.865994,-464.206311,4.184933
-173.804557,-465.217135,4.144327
-173.743158,-466.227933,4.104039
-173.681813,-467.238703,4.064069
-173.620536,-468.249447,4.024417
-173.559341,-469.260162,3.985083
-173.498243,-470.270849,3.946035
-173.437242,-471.281761,3.907165
-173.376365,-472.292665,3.868464
-173.315628,-473.303538,3.829932
-173.255047,-474.314381,3.791569
-173.194635,-475.325193,3.753375
-173.134408,-476.335972,3.715350
-173.074379,-477.346719,3.677493
-173.014563,-478.357432,3.639806
-172.954955,-479.368433,3.602288
-172.895588,-480.379443,3.564939
-172.836477,-481.390418,3.527758
-172.777638,-482.401357,3.490747
-172.719084,-483.412261,3.453905
-172.660831,-484.423127,3.417231
-172.602893,-485.433956,3.380727
-172.545284,-486.444747,3.344391
-172.487998,-487.455879,3.308224
-172.431067,-488.467041,3.272227
-172.374509,-489.478164,3.236398
-172.318339,-490.489246,3.200738
-172.262572,-491.500287,3.165248
-172.207221,-492.511287,3.129799
-172.152302,-493.522245,3.094194
-172.097830,-494.533160,3.058430
-172.043517,-495.540850,3.022507
-171.987478,-496.555872,2.986425
-171.929574,-497.568126,2.950185
-171.869001,-498.580599,2.913786
-171.805075,-499.594238,2.877228
-171.737481,-500.604574,2.840511
-171.665150,-501.618634,2.803635
-171.588153,-502.627274,2.766601
-171.505251,-503.639204,2.729407
-171.416382,-504.647943,2.692055
-171.320647,-505.657175,2.654545
-171.217562,-506.665603,2.616875
-171.106603,-507.672513,2.579046
-170.987022,-508.679067,2.541059
-170.858351,-509.683866,2.502913
-170.719913,-510.687166,2.464608
-170.570935,-511.689617,2.426145
